Name,Pharmacy,Price
Loratadine,Walmart Neighborhood Market,$7.35
Loratadine,Costco,$4.97
Loratadine,Harris Teeter,$19.69
Loratadine,Food Lion Pharmacy,$22.55
Loratadine,Publix,$5.04
Loratadine,"Community, a Walgreens Pharmacy",$2.00
Loratadine,Kroger Pharmacy,$19.69
Melatonin,Walgreens,$4.17
Melatonin,Walmart,$11.70
Melatonin,Walmart Neighborhood Market,$11.18
Melatonin,Costco,$5.18
Melatonin,Harris Teeter,$11.00
Melatonin,Food Lion Pharmacy,$15.79
Melatonin,Publix,$4.75
Melatonin,"Community, a Walgreens Pharmacy",$4.27
Melatonin,Kroger Pharmacy,$11.00
Metformin,CVS Pharmacy,$19.84
Metformin,Walgreens,$4.87
Metformin,Target (CVS),$19.84
Metformin,Walmart,$9.00
Metformin,Costco,$9.49
Metformin,Harris TeeterPay online,$9.88
Metformin,Sams Club,$9.82
Metformin,Walmart Neighborhood Market,$9.00
Metformin,PublixPay online,$2.00
Miconazole,Walgreens,$6.28
Miconazole,Walmart,$14.22
Miconazole,Walmart Neighborhood Market,$15.76
Miconazole,Costco,$9.04
Miconazole,Harris Teeter,$24.14
Miconazole,Food Lion Pharmacy,$22.82
Miconazole,Publix,$10.57
Miconazole,"Community, a Walgreens Pharmacy",$6.07
Miconazole,Kroger Pharmacy,$22.07
Minoxidil,Walgreens,$2.00
Minoxidil,CVS Pharmacy,$20.23
Minoxidil,Costco,$2.00
Minoxidil,Walmart,$16.97
Minoxidil,Walmart Neighborhood Market,$16.97
Minoxidil,Target (CVS),$20.23
Minoxidil,Harris Teeter,$16.90
Minoxidil,Publix,$2.92
Omeprazole,Publix,$2.01
Omeprazole,CVS Pharmacy,$16.23
Omeprazole,Walgreens,$10.78
Omeprazole,Walmart,$2.00
Omeprazole,Costco,$16.16
Omeprazole,Target (CVS),$16.23
Omeprazole,Harris Teeter,$6.10
Omeprazole,Walmart Neighborhood Market,$2.00
Pantoprazole,PublixPay online,$15.08
Pantoprazole,CVS Pharmacy,$28.37
Pantoprazole,Walmart,$15.61
Pantoprazole,Walgreens,$23.73
Pantoprazole,Walmart Neighborhood Market,$15.61
Pantoprazole,Target (CVS),$28.37
Pantoprazole,Costco,$23.99
Pantoprazole,Sams Club,$9.87
Pantoprazole,Harris TeeterPay online,$11.56
Polyethylene,Walgreens,$26.78
Polyethylene,Walmart,$51.16
Polyethylene,Walmart Neighborhood Market,$51.16
Polyethylene,Costco,$49.19
Polyethylene,Harris Teeter,$53.74
Polyethylene,Food Lion Pharmacy,$61.45
Polyethylene,Publix,$43.74
Polyethylene,"Community, a Walgreens Pharmacy",$26.78
Polyethylene,Kroger Pharmacy,$53.74
Vitamin,Walgreens,$2.99
Vitamin,Walmart,$11.89
Vitamin,Walmart Neighborhood Market,$11.89
Vitamin,Costco,$10.98
Vitamin,Harris Teeter,$11.88
Vitamin,Food Lion Pharmacy,$15.98
Vitamin,Publix,$2.25
Vitamin,"Community, a Walgreens Pharmacy",$2.99
Vitamin,Kroger Pharmacy,$11.88
